source_type,source_index,sentence,phrase,normalized_phrase,proposed_abbreviation,word_count
paragraph,6,"Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение.",пользовательских профилей,пользовательский профиль,ПП,2
heading,2,3. Пограничные случаи,Пограничные случаи,пограничный случай,ПС,2
paragraph,7,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.,Короткий термин,короткий термин,КТ,2
paragraph,7,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.,Короткий термин журнал,короткий термин журнал,КТЖ,3
paragraph,7,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.,Короткий термин журнал ошибок,короткий термин журнал ошибка,КТЖО,4
paragraph,7,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.,термин журнал,термин журнал,ТЖ,2
paragraph,7,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.,термин журнал ошибок,термин журнал ошибка,ТЖО,3
paragraph,7,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.,журнал ошибок,журнал ошибка,ЖО,2
paragraph,7,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.,один раз,один раз,ОР,2
paragraph,7,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.,отдельной аббревиатуры,отдельный аббревиатура,ОА,2
paragraph,8,Рабочая группа анализирует результаты эксперимента.,Рабочая группа,рабочий группа,РГ,2
paragraph,8,Рабочая группа анализирует результаты эксперимента.,результаты эксперимента,результат эксперимент,РЭ,2
paragraph,8,Здесь сочетание рабочая группа встречается редко и не обязано становиться аббревиатурой.,сочетание рабочая группа,сочетание рабочий группа,СРГ,3
paragraph,8,Здесь сочетание рабочая группа встречается редко и не обязано становиться аббревиатурой.,рабочая группа,рабочий группа,РГ,2
paragraph,9,"Дополнительный пример вынесен в сноску , чтобы проверить извлечение текста из footnotes.xml.",Дополнительный пример,дополнительный пример,ДП,2
paragraph,9,"Дополнительный пример вынесен в сноску , чтобы проверить извлечение текста из footnotes.xml.",извлечение текста,извлечение текст,ИТ,2
table_cell,0,Тип результата,Тип результата,тип результат,ТР,2
table_cell,1,Ожидаемый пример,Ожидаемый пример,ожидать пример,ОП,2
table_cell,2,Существующая аббревиатура,Существующая аббревиатура,существующий аббревиатура,СА,2
table_cell,3,СУД — система управления доступом,СУД система,суд система,СС,2
table_cell,3,СУД — система управления доступом,СУД система управления,суд система управление,ССУ,3
table_cell,3,СУД — система управления доступом,СУД система управления доступом,суд система управление доступ,ССУД,4
table_cell,3,СУД — система управления доступом,система управления,система управление,СУ,2
table_cell,3,СУД — система управления доступом,система управления доступом,система управление доступ,СУД,3
table_cell,3,СУД — система управления доступом,управления доступом,управление доступ,УД,2
table_cell,4,Существующая аббревиатура,Существующая аббревиатура,существующий аббревиатура,СА,2
table_cell,5,ЦОД — центр обработки данных,центр обработки,центр обработка,ЦО,2
table_cell,5,ЦОД — центр обработки данных,центр обработки данных,центр обработка данные,ЦОД,3
table_cell,5,ЦОД — центр обработки данных,обработки данных,обработка данные,ОД,2
table_cell,7,автоматизированная система мониторинга событий,автоматизированная система,автоматизированный система,АС,2
table_cell,7,автоматизированная система мониторинга событий,автоматизированная система мониторинга,автоматизированный система мониторинг,АСМ,3
table_cell,7,автоматизированная система мониторинга событий,автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4
table_cell,7,автоматизированная система мониторинга событий,система мониторинга,система мониторинг,СМ,2
table_cell,7,автоматизированная система мониторинга событий,система мониторинга событий,система мониторинг событие,СМС,3
table_cell,7,автоматизированная система мониторинга событий,мониторинга событий,мониторинг событие,МС,2
table_cell,9,модуль анализа текстовых документов,модуль анализа,модуль анализ,МА,2
table_cell,9,модуль анализа текстовых документов,модуль анализа текстовых документов,модуль анализ текстовый документ,МАТД,4
table_cell,9,модуль анализа текстовых документов,анализа текстовых документов,анализ текстовый документ,АТД,3
table_cell,9,модуль анализа текстовых документов,текстовых документов,текстовый документ,ТД,2
table_cell,11,распределённая база пользовательских профилей,распределённая база,распределённый база,РБ,2
table_cell,11,распределённая база пользовательских профилей,распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4
table_cell,11,распределённая база пользовательских профилей,база пользовательских профилей,база пользовательский профиль,БПП,3
table_cell,11,распределённая база пользовательских профилей,пользовательских профилей,пользовательский профиль,ПП,2
